Mass_ID,Isobar,Stage1_hit,Stage2_hit,Hash,Hex,HexNAc,Neu5Ac,Fuc,NCore,DM1,MCC,Exp. Mass,Theo. Mass,Da,ppm,ch_A,ch_B,Abundance,Permutations,Permutation abundance
119,6003,2,0,-7350387943780107658,11,6,1,1,1,5,1,154506.24478,154508.99700000003,-2.7522200000239536,-17.812684396779517,A2S1G1F,M6,0.019484245811279815,2,0.03896849162255963
119,6003,2,1,-7350387943780107658,11,6,1,1,1,5,1,154506.24478,154508.99700000003,-2.7522200000239536,-17.812684396779517,M6,A2S1G1F,0.019484245811279815,2,0.03896849162255963
119,6009,0,0,-826732702757855206,9,7,0,1,6,1,0,154506.24478,154509.34360000002,-3.098820000013802,-20.055874472136463,A2G2F,A1G1,0.13163746560303682,2,0.26327493120607365
119,6009,0,1,-826732702757855206,9,7,0,1,6,1,0,154506.24478,154509.34360000002,-3.098820000013802,-20.055874472136463,A1G1,A2G2F,0.13163746560303682,2,0.26327493120607365
119,6009,2,0,-5103242502581937443,3,3,0,1,8,1,0,154506.24478,154509.34360000002,-3.098820000013802,-20.055874472136463,A1G0F,Unglycosylated,0.738641395516618,2,1.477282791033236
119,6009,2,1,-5103242502581937443,3,3,0,1,8,1,0,154506.24478,154509.34360000002,-3.098820000013802,-20.055874472136463,Unglycosylated,A1G0F,0.738641395516618,2,1.477282791033236
119,6012,0,0,4719943387863366401,6,7,0,1,2,5,1,154506.24478,154503.04100000003,3.2037799999816343,20.736031985167422,A2G0F,A1G0,3.333304202278207,2,6.666608404556414
119,6012,0,1,6959151813264177042,6,7,0,1,2,5,1,154506.24478,154503.04100000003,3.2037799999816343,20.736031985167422,A1G0F,A2G0,1.7959859312307616,2,3.591971862461523
119,6012,0,2,6959151813264177042,6,7,0,1,2,5,1,154506.24478,154503.04100000003,3.2037799999816343,20.736031985167422,A2G0,A1G0F,1.7959859312307616,2,3.591971862461523
119,6012,0,3,4719943387863366401,6,7,0,1,2,5,1,154506.24478,154503.04100000003,3.2037799999816343,20.736031985167422,A1G0,A2G0F,3.333304202278207,2,6.666608404556414
119,6018,0,0,-2219647344881759879,4,4,0,0,0,8,1,154506.24478,154509.99880000003,-3.7540200000221375,-24.296291691008264,A2G1,Unglycosylated,0.1840653101609617,2,0.3681306203219234
119,6018,0,1,-2219647344881759879,4,4,0,0,0,8,1,154506.24478,154509.99880000003,-3.7540200000221375,-24.296291691008264,Unglycosylated,A2G1,0.1840653101609617,2,0.3681306203219234
119,6028,0,0,3466832975836837528,8,8,1,2,2,4,1,154506.24478,154510.38640000002,-4.141620000009425,-26.804799965275503,A2G0F,A2S1G1F,1.1631104024970766,2,2.3262208049941533
119,6028,0,1,9114669403256216244,8,8,1,2,2,4,1,154506.24478,154510.38640000002,-4.141620000009425,-26.804799965275503,A2G1F,A2S1G0F,0.5117937076679288,2,1.0235874153358575
119,6028,0,2,3466832975836837528,8,8,1,2,2,4,1,154506.24478,154510.38640000002,-4.141620000009425,-26.804799965275503,A2S1G1F,A2G0F,1.1631104024970766,2,2.3262208049941533
119,6028,0,3,9114669403256216244,8,8,1,2,2,4,1,154506.24478,154510.38640000002,-4.141620000009425,-26.804799965275503,A2S1G0F,A2G1F,0.5117937076679288,2,1.0235874153358575
